Modelo,Recall,Precision,F1
Logistic Regression,0.8445945945945946,0.1188212927756654,0.20833333333333334
Random Forest,0.8378378378378378,0.6169154228855721,0.7106017191977078
XGBoost,0.8243243243243243,0.8079470198675497,0.8160535117056856
