Threshold,Precision,Recall,F1
0.01,0.38181818181818183,0.8513513513513513,0.5271966527196653
0.02,0.4864864864864865,0.8513513513513513,0.6191646191646192
0.03,0.5338983050847458,0.8513513513513513,0.65625
0.04,0.56,0.8513513513513513,0.675603217158177
0.05,0.5943396226415094,0.8513513513513513,0.7
0.06,0.6146341463414634,0.8513513513513513,0.7138810198300283
0.07,0.628140703517588,0.8445945945945946,0.7204610951008645
0.08,0.6443298969072165,0.8445945945945946,0.7309941520467836
0.09,0.6578947368421053,0.8445945945945946,0.7396449704142012
0.1,0.6793478260869565,0.8445945945945946,0.7530120481927711
0.11,0.6906077348066298,0.8445945945945946,0.7598784194528876
0.12,0.7167630057803468,0.8378378378378378,0.7725856697819314
0.13,0.7321428571428571,0.831081081081081,0.7784810126582279
0.14,0.7409638554216867,0.831081081081081,0.7834394904458599
0.15,0.7454545454545455,0.831081081081081,0.7859424920127795
0.16,0.7454545454545455,0.831081081081081,0.7859424920127795
0.17,0.7639751552795031,0.831081081081081,0.7961165048543689
0.18,0.7784810126582279,0.831081081081081,0.803921568627451
0.19,0.7784810126582279,0.831081081081081,0.803921568627451
0.2,0.7884615384615384,0.831081081081081,0.8092105263157895
0.21,0.7987012987012987,0.831081081081081,0.8145695364238411
0.22,0.7987012987012987,0.831081081081081,0.8145695364238411
0.23,0.7987012987012987,0.831081081081081,0.8145695364238411
0.24,0.803921568627451,0.831081081081081,0.8172757475083057
0.25,0.8145695364238411,0.831081081081081,0.822742474916388
0.26,0.8145695364238411,0.831081081081081,0.822742474916388
0.27,0.8133333333333334,0.8243243243243243,0.8187919463087249
0.28,0.8187919463087249,0.8243243243243243,0.8215488215488216
0.29,0.8243243243243243,0.8243243243243243,0.8243243243243243
0.3,0.8243243243243243,0.8243243243243243,0.8243243243243243
0.31,0.8243243243243243,0.8243243243243243,0.8243243243243243
0.32,0.8243243243243243,0.8243243243243243,0.8243243243243243
0.33,0.8299319727891157,0.8243243243243243,0.8271186440677966
0.34,0.8299319727891157,0.8243243243243243,0.8271186440677966
0.35,0.8299319727891157,0.8243243243243243,0.8271186440677966
0.36,0.8299319727891157,0.8243243243243243,0.8271186440677966
