Modelo,Recall,Precision,F1,ROC_AUC,Average_Precision
Logistic Regression,0.8783783783783784,0.06539235412474849,0.12172284644194757,0.9676477741003797,0.7033463589986234
Random Forest,0.8378378378378378,0.6138613861386139,0.7085714285714285,0.9790258134328712,0.7870444066757589
XGBoost,0.8175675675675675,0.852112676056338,0.8344827586206897,0.9757477229266316,0.8405303061285808
